"Manage Slider Images","Manage Slider Images"
"Save Gallery","Save Gallery"
"Add Images For Slider","Add Images For Slider"
"%1 Image Not Uploaded","%1 Image Not Uploaded"
"Disallowed file type.","Disallowed file type."
"Gallery was successfully saved","Gallery was successfully saved"
"Image width field can not contain any space, alphabet or special character","Image width field can not contain any space, alphabet or special character"
"Image height field can not contain any space, alphabet or special character","Image height field can not contain any space, alphabet or special character"
"Slider speed field can not contain any space, alphabet or special character","Slider speed field can not contain any space, alphabet or special character"
"Slider duration field can not contain any space, alphabet or special character","Slider duration field can not contain any space, alphabet or special character"
"Images","Images"
"Add other image","Add other image"
" Remove "," Remove "
"Settings","Settings"
"Image Width (in 'px') ","Image Width (in 'px') "
"Image Height (in 'px') ","Image Height (in 'px') "
"Slider Speed (in 'milliseconds') ","Slider Speed (in 'milliseconds') "
"Slider Duration (in 'milliseconds') ","Slider Duration (in 'milliseconds') "
"Back","Back"
